,Title,Useable Battery,0 - 100,Top Speed,Range,Efficiency,Fastcharge,Price in Germany,Price in Netherlands,Price in UK
0,Mini Cooper SE,49 kwh,6.7 sec,170 km/h,310 km,158 Wh/km,440 km/h,"€36,900","* €40,000","£34,500"
1,Mini Cooper E,37 kwh,7.3 sec,160 km/h,235 km,157 Wh/km,360 km/h,"* €33,000","* €35,000","£30,000"
2,BMW iX1 eDrive20,64.7 kwh,8.3 sec,170 km/h,385 km,168 Wh/km,550 km/h,"€47,900","* €50,000","£44,560"
3,Mini Countryman SE ALL4,64.7 kwh,5.6 sec,180 km/h,370 km,175 Wh/km,530 km/h,"* €50,000","* €53,000","£47,180"
4,Mini Countryman E,64.7 kwh,8.6 sec,170 km/h,380 km,170 Wh/km,550 km/h,"* €43,500","* €46,000","£42,080"
5,Kia EV9 99.8 kWh AWD GT-Line,95 kwh,5.3 sec,200 km/h,415 km,229 Wh/km,750 km/h,"€82,380","€78,895","£73,245"
6,Tesla Model 3 Long Range Dual Motor,75 kwh,4.4 sec,201 km/h,505 km,149 Wh/km,780 km/h,"€55,220","€51,993","* £52,000"
7,Tesla Model 3,57.5 kwh,6.1 sec,201 km/h,420 km,137 Wh/km,700 km/h,"€46,220","€43,993","* £44,000"
8,Mercedes EQB 350 4MATIC,66.5 kwh,6.2 sec,160 km/h,345 km,193 Wh/km,500 km/h,"* €58,500","* €68,500","* £57,000"
9,Mercedes EQB 300 4MATIC,66.5 kwh,8.0 sec,160 km/h,345 km,193 Wh/km,500 km/h,"* €56,000","* €65,500","* £55,000"
10,Mercedes EQB 250+,70.5 kwh,8.9 sec,160 km/h,415 km,170 Wh/km,560 km/h,"* €54,000","* €55,000",N/A
11,Mercedes EQA 350 4MATIC,66.5 kwh,6.0 sec,160 km/h,355 km,187 Wh/km,510 km/h,"* €56,500","* €67,500","* £55,000"
12,Mercedes EQA 300 4MATIC,66.5 kwh,7.7 sec,160 km/h,355 km,187 Wh/km,510 km/h,"* €54,000","* €65,000","* £53,000"
